,MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY,NUMBER_OF_MEGA_MEALS,AVERAGE_MEGA_MEAL_SIZE,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
268,FEDXDM4,M,PR,3.0,CAS5,193,2.8536585365853657,1.0,41,1.7875092342533274,25,1.0899446550325167,8,6.375,2.0,4.0,0.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,5.0,2.0,0.0,0.0,2.0,3.0,3.0,2.0,1.0,2.0
269,FEDXDM5,M,PR,3.0,CAS5,175,2.8076923076923075,1.0,26,1.1392266403768212,8,0.3505312739620988,14,6.714285714285714,2.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0
270,FEDXDM6,M,PR,3.0,CAS5,190,2.6296296296296298,1.0,54,2.3343500084055813,32,1.3833185234996037,3,5.333333333333333,3.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,4.0,5.0,1.0,2.0,6.0,5.0,3.0,1.0,4.0,1.0,4.0
271,FEDXDM7,M,PR,3.0,CAS5,151,2.5945945945945947,1.0,37,1.6066582232675952,29,1.2592726614800072,5,5.2,3.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0
272,FEDXDM8,M,PR,3.0,CAS5,199,2.878787878787879,1.0,33,1.4146562194860557,31,1.3289194789111431,12,6.083333333333333,2.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0
273,FEDXDM9,M,PR,3.0,CAS5,208,2.717391304347826,1.0,46,1.9849688949620627,22,0.9493329497644648,9,6.777777777777778,0.0,2.0,2.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,5.0
274,FEDXDM10,M,PR,3.0,CAS5,165,2.5833333333333335,1.0,36,1.5448249555982025,25,1.0727951080543074,8,5.875,4.0,3.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0
275,FEDXDM1,M,PR,3.0,SUC,35,2.0,1.0,4,0.17625243265076315,27,1.1897039203926514,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
276,FEDXDM2,M,PR,3.0,SUC,2,0.0,1.0,0,0.0,2,0.15445671993993348,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,FEDXDM3,M,PR,3.0,SUC,21,2.0,1.0,3,0.14626020774366544,15,0.7313010387183273,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
278,FEDXDM4,M,PR,3.0,SUC,26,2.0,1.0,5,0.2263638421489474,16,0.7243642948766317,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
279,FEDXDM5,M,PR,3.0,SUC,21,2.6666666666666665,1.0,3,0.1426100275976813,13,0.6179767862566189,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
280,FEDXDM6,M,PR,3.0,SUC,30,2.5,1.0,2,0.0900078756891228,25,1.125098446114035,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
281,FEDXDM7,M,PR,3.0,SUC,22,2.0,1.0,2,0.08577351028090824,18,0.7719615925281742,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,FEDXDM8,M,PR,3.0,SUC,14,2.0,1.0,3,0.1634827888952802,8,0.43595410372074717,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
283,FEDXDM9,M,PR,3.0,SUC,12,0.0,1.0,0,0.0,12,0.5166413528349499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,FEDXDM10,M,PR,3.0,SUC,32,2.0,1.0,3,0.1340732188745298,26,1.1619678969125917,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,FEDXDM1,M,PR,4.0,CAS5,86,2.6923076923076925,1.0,13,0.6261204612955877,51,2.456318732774998,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
