,MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY,NUMBER_OF_MEGA_MEALS,AVERAGE_MEGA_MEAL_SIZE,MEGA_MEAL_FREQUENCY,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
240,FEDXDM6,M,PR,1.0,CAS5,109,2.88,1.0,25,1.1218727796267902,37,1.6603717138476497,2,8.0,0.08974982237014323,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0
241,FEDXDM7,M,PR,1.0,CAS5,75,2.2777777777777777,1.0,18,0.8057596896333047,34,1.5219905248629089,0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
242,FEDXDM8,M,PR,1.0,CAS5,48,3.5,1.0,6,0.26952832543049665,27,1.2128774644372349,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
243,FEDXDM9,M,PR,1.0,CAS5,70,3.2142857142857144,1.0,14,0.6259314456035767,25,1.1177347242921014,2,6.5,0.08941877794336811,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
244,FEDXDM10,M,PR,1.0,CAS5,91,2.4827586206896552,1.0,29,1.3069113578608715,19,0.8562522689433296,1,6.0,0.04506590889175419,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,1.0
245,FEDXDM1,M,PR,2.0,CAS20,135,2.7241379310344827,1.0,29,1.311755541036337,56,2.5330451826908575,1,6.0,0.04523294969090817,2.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0
246,FEDXDM2,M,PR,2.0,CAS20,174,4.40625,1.0,32,1.3877344512305303,33,1.4311011528314843,11,8.090909090909092,0.47703371761049473,1.0,0.0,1.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0
247,FEDXDM3,M,PR,2.0,CAS20,178,2.8,1.0,40,1.7891977187729085,66,2.952176235975299,2,6.5,0.08945988593864543,1.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,5.0,0.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,4.0,3.0,0.0,5.0,0.0,1.0
248,FEDXDM4,M,PR,2.0,CAS20,173,3.0,1.0,42,1.8334384246010573,47,2.051704903720231,4,6.25,0.1746131832953388,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0
249,FEDXDM5,M,PR,2.0,CAS20,184,4.666666666666667,1.0,36,1.5861554089612886,16,0.7049579595383505,12,8.416666666666666,0.5287184696537629,1.0,2.0,1.0,0.0,5.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,3.0
