MOUSE ID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,GROUP_KEY,MEAL_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,HOURLY_MEALS,TOTAL_PELLETS,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
FEDXDM10,M,PR,1.0,,FEDXDM10_M_PR_1.0,2.070588235294118,85,3.830602255799106,"[6.0, 2.0, 0.0, 6.0, 5.0, 8.0, 3.0, 0.0, 3.0, 0.0, 0.0, 3.0, 3.0, 7.0, 6.0, 6.0, 1.0, 5.0, 7.0, 6.0, 1.0, 0.0, 3.0, 4.0]",176,6.0,2.0,0.0,6.0,5.0,8.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,7.0,6.0,6.0,1.0,5.0,7.0,6.0,1.0,0.0,3.0,4.0
FEDXDM10,M,PR,2.0,,FEDXDM10_M_PR_2.0,2.057142857142857,105,4.682854311199208,"[8.0, 7.0, 0.0, 6.0, 9.0, 9.0, 3.0, 3.0, 0.0, 0.0, 7.0, 0.0, 4.0, 7.0, 7.0, 9.0, 2.0, 4.0, 1.0, 4.0, 7.0, 0.0, 3.0, 5.0]",216,8.0,7.0,0.0,6.0,9.0,9.0,3.0,3.0,0.0,0.0,7.0,0.0,4.0,7.0,7.0,9.0,2.0,4.0,1.0,4.0,7.0,0.0,3.0,5.0
FEDXDM10,M,PR,3.0,,FEDXDM10_M_PR_3.0,1.6837606837606838,117,5.020681105694158,"[7.0, 7.0, 8.0, 4.0, 9.0, 8.0, 3.0, 1.0, 1.0, 5.0, 0.0, 2.0, 2.0, 7.0, 10.0, 7.0, 5.0, 5.0, 7.0, 4.0, 1.0, 5.0, 3.0, 6.0]",197,7.0,7.0,8.0,4.0,9.0,8.0,3.0,1.0,1.0,5.0,0.0,2.0,2.0,7.0,10.0,7.0,5.0,5.0,7.0,4.0,1.0,5.0,3.0,6.0
FEDXDM10,M,PR,4.0,,FEDXDM10_M_PR_4.0,1.108910891089109,101,4.510662581101365,"[4.0, 4.0, 1.0, 2.0, 7.0, 8.0, 1.0, 0.0, 0.0, 5.0, 0.0, 5.0, 6.0, 8.0, 7.0, 8.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 3.0, 4.0]",112,4.0,4.0,1.0,2.0,7.0,8.0,1.0,0.0,0.0,5.0,0.0,5.0,6.0,8.0,7.0,8.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0
FEDXDM11,M,NR,1.0,,FEDXDM11_M_NR_1.0,2.2714285714285714,70,3.3646207458242654,"[5.0, 0.0, 0.0, 3.0, 3.0, 10.0, 3.0, 1.0, 3.0, 0.0, 1.0, 4.0, 3.0, 5.0, 5.0, 4.0, 3.0, 2.0, 5.0, 3.0, 4.0, 0.0, 2.0, 1.0]",159,5.0,0.0,0.0,3.0,3.0,10.0,3.0,1.0,3.0,0.0,1.0,4.0,3.0,5.0,5.0,4.0,3.0,2.0,5.0,3.0,4.0,0.0,2.0,1.0
FEDXDM11,M,NR,2.0,,FEDXDM11_M_NR_2.0,2.2535211267605635,71,3.098407156884137,"[1.0, 4.0, 1.0, 3.0, 6.0, 1.0, 3.0, 0.0, 2.0, 0.0, 1.0, 0.0, 5.0, 6.0, 7.0, 0.0, 7.0, 3.0, 5.0, 4.0, 1.0, 3.0, 4.0, 4.0]",160,1.0,4.0,1.0,3.0,6.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,5.0,6.0,7.0,0.0,7.0,3.0,5.0,4.0,1.0,3.0,4.0,4.0
FEDXDM11,M,NR,3.0,,FEDXDM11_M_NR_3.0,2.3676470588235294,68,2.9823108035670773,"[5.0, 1.0, 1.0, 3.0, 10.0, 0.0, 5.0, 0.0, 1.0, 1.0, 1.0, 3.0, 2.0, 5.0, 2.0, 6.0, 0.0, 5.0, 4.0, 2.0, 3.0, 2.0, 2.0, 4.0]",161,5.0,1.0,1.0,3.0,10.0,0.0,5.0,0.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,6.0,0.0,5.0,4.0,2.0,3.0,2.0,2.0,4.0
FEDXDM11,M,NR,4.0,,FEDXDM11_M_NR_4.0,1.6931818181818181,88,3.956834532374101,"[8.0, 0.0, 5.0, 0.0, 5.0, 6.0, 0.0, 2.0, 0.0, 3.0, 0.0, 5.0, 1.0, 7.0, 11.0, 2.0, 6.0, 2.0, 6.0, 4.0, 4.0, 1.0, 5.0, 5.0]",149,8.0,0.0,5.0,0.0,5.0,6.0,0.0,2.0,0.0,3.0,0.0,5.0,1.0,7.0,11.0,2.0,6.0,2.0,6.0,4.0,4.0,1.0,5.0,5.0
FEDXDM12,M,NR,1.0,,FEDXDM12_M_NR_1.0,1.7653061224489797,98,4.53074433656958,"[7.0, 4.0, 0.0, 3.0, 5.0, 9.0, 5.0, 0.0, 5.0, 0.0, 5.0, 0.0, 4.0, 8.0, 6.0, 4.0, 9.0, 4.0, 4.0, 4.0, 3.0, 1.0, 3.0, 5.0]",173,7.0,4.0,0.0,3.0,5.0,9.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,8.0,6.0,4.0,9.0,4.0,4.0,4.0,3.0,1.0,3.0,5.0
FEDXDM12,M,NR,2.0,,FEDXDM12_M_NR_2.0,1.4051724137931034,116,5.086294045284581,"[7.0, 1.0, 4.0, 4.0, 8.0, 6.0, 0.0, 0.0, 6.0, 0.0, 0.0, 2.0, 5.0, 11.0, 1.0, 9.0, 6.0, 4.0, 11.0, 6.0, 8.0, 5.0, 3.0, 9.0]",163,7.0,1.0,4.0,4.0,8.0,6.0,0.0,0.0,6.0,0.0,0.0,2.0,5.0,11.0,1.0,9.0,6.0,4.0,11.0,6.0,8.0,5.0,3.0,9.0
FEDXDM12,M,NR,3.0,,FEDXDM12_M_NR_3.0,1.3008849557522124,113,4.939830724581365,"[8.0, 0.0, 2.0, 2.0, 7.0, 3.0, 0.0, 4.0, 4.0, 0.0, 2.0, 2.0, 3.0, 12.0, 7.0, 10.0, 6.0, 2.0, 11.0, 6.0, 3.0, 6.0, 5.0, 8.0]",147,8.0,0.0,2.0,2.0,7.0,3.0,0.0,4.0,4.0,0.0,2.0,2.0,3.0,12.0,7.0,10.0,6.0,2.0,11.0,6.0,3.0,6.0,5.0,8.0
